,index,id,내용,실제값,svc예측값,lr예측값,nb예측값,
19,7861,https://www.instagram.com/p/BYhBoBrFyfR/,단체주문 사은품 답례품 다크초코 빵한덩이 옥수동 한남동 금호동 약수동 성수동 맛집 빵집 빵스타그램 맛스타그램 디뮤지엄맛집 대림미술관 전시회 기쁨 감사 축복 옥수동빵집 한남동맛집 한남동빵집 이태원카페 금호동빵집 성수동카페 청년부 모임 식빵맛집 러스크,0,1,1,1,카페 광고
20,5879,https://www.instagram.com/p/8r9fqVA1Fp/,보석길시장 보석길 장진우거리 펑카프릭 음악조으다,0,1,1,1,왜? 1로 판단했찌????
21,10336,https://www.instagram.com/p/BUDrDWsA3Nb/,팻캣 테라스 테라스타그램 해방촌맛집 haebangchon,0,1,1,1,"태그엔 맛집이 있지만 사진은 맛집이 아님, 즉 갔어도 맛집 정보가 없음"
22,133,https://www.instagram.com/p/BbBjPcSFtbt/,스윗비 오리연근칩 우유껌 큐브 무염황태채 소간져키 아베크펫 쇼룸 이태원애견동반 한남동강아지들 메이드인코리아 이태원핫플레이스 우사단길,1,0,0,0,실제값을 왜 1로 둔거지?????
23,2118,https://www.instagram.com/p/BaHEMuIBvqz/,ifyouwan0go 이퓨일상,1,0,0,0,"댓글에는 태그내용이 추가 되어있지만, 본문에는 없음"
29,7978,https://www.instagram.com/p/BNd0MO6ABpd/,hibrow hibrowcoffee coffee espresso shakerato americano caffelatte cappucchino caffemocha caramelmachiato chocolate milktea andmore 하이브로우 하이브로우커피 경리단 경리단길 경리단길카페 소통 오오티디 인테리어 소품 가구 셀프인,0,1,1,1,
30,6919,https://www.instagram.com/p/BQnXjuWhZuS/,여자모임 girlsnight 이태원 itaewon 우사단길 음레코드 힙플레이스 힙힙 sepku,0,1,1,1,
32,9764,https://www.instagram.com/p/BXMag7lHZlf/,남편 샌드위치 이태원 우사단길 foreignfoodmart 포린푸드마트 gogo,0,1,1,1,"샌드위치를 직접 사온 사온 곳이 이태원인가봄, 근데 태그값은 맛집마냥 해놔서 판단을 잘못한듯"
34,3261,https://www.instagram.com/p/BafeW5zBztY/,먹스타그램 맛스타그램 카페스타그램 푸드스타그램 불토 토요일 주말 데이트 이태원 이태원카페 커피빈 카페 녹차라떼 그린티라떼 아이스초코 초코 달달 일상 데일리 사진 소통 선팔하면맞팔 맞팔 맛집 먹방 오늘뭐먹지,0,1,1,1,
35,4881,https://www.instagram.com/p/BY03qgVnzxY/,해방촌 데이트 해방촌맛집 burgermine oldknives 럽스타그램,0,1,1,1,
38,8860,https://www.instagram.com/p/1Aqe0ZyH8X/,친자매 경리단길 보석길,0,1,1,1,"이태원이지만 맛집은 아님, 경리단길이라는 태그가 굉장히 영향을 많이 미치나?"
40,5118,https://www.instagram.com/p/BZkwBOlF0N8/,이태원시계수리 이태원시계방 이태원맛집 이태원핫플레이스 이태원놀거리 이태원역맛집 이태원술집 한남동시계 한남동시계방 한남동맛집 대학로맛집 대학로시계수리 대학로시계방 대학로연극 대학로공연 대학로술집 대학로데이트 수유역시계수리 예지동시계수리,0,1,1,1,
41,2154,https://www.instagram.com/p/BavQ7LiDLMF/,가을 한남동 점심 밥먹고일해야되요 앵클부츠 로퍼 cafe 이태원카페 일상 마실 카페 날씨 가을 계절 커피 카페 일상 데일리 dailyphoto ootd dailylook look shoes fashion streetfashion 부츠,1,0,0,0,
42,4445,https://www.instagram.com/p/BZ7sJ_UhQ50/,헵시바극장 이태원카페 카페 공간 커피 hepzibah cafe place coffee americano,0,1,1,1,
43,2183,https://www.instagram.com/p/BU9oJGtBB_q/,cafe 0tural moment memories photooftheday styles fashiondiaries dailylook s0pshot lookoftheday picoftheday styleoftheday roadtrip nice selfie streetfashion ストリ ト ファション 旅行 카페 해방촌카페 패션 여행 테라스카페,0,1,1,1,
44,7499,https://www.instagram.com/p/BP7a4nGhqS9/,캐스키드슨 동구다방 이태원카페 한남동카페 우사단길 예쁜카페 우사단길카페 플라워카페,0,1,1,1,
47,4426,https://www.instagram.com/p/poaENTxnAM/,우사단길 부엌 감자집 유자맥주짱맛,1,0,0,0,우사단길.. 이라는 태그가 큰 영향을 미치지 못하나봄 아니면 다른 단어들이 영향이 크던가
48,2875,https://www.instagram.com/p/BRaiT2ThiW7/,토스트프랑세미남알바구합니다ㅋㅋㅋㅋㅋㅋㅋ하지만 춥다            ... 토스트프랑세 toastsfrancais 해방촌 해방촌맛집 브런치카페 일상 소통 데일리 dailylook like4like 예뻐,0,1,1,1,
49,9700,https://www.instagram.com/p/BcMJEbTlYcW/,유자아이스크림 yuzu stickyrickys icecream 스티키리키아이스크림 스티키리키 아이스크림 디저트 수제아이스크림 아쑤크림              크래프트아이스크림 맛집 해방촌 후암동 갈월동 숙대입구 갈월동맛집 해방촌맛집 숙대입구맛집 후암동맛집 아이스크림가게 seoulfood seoulicecream icecreamseoul 구복만두 창수린 일미집 고추장초콜렛 서울로,0,1,1,1,이태원 내에 있는 카페 광고글 이라서
51,7440,https://www.instagram.com/p/BaJSJ13hFSc/,해방촌 해방촌맛집 해방촌콘서트 엄마음식 집밥 입덧퇴치 해방촌토박이 컴백홈 S1,0,1,1,1,
52,9490,https://www.instagram.com/p/BbH1fEjF8-X/,썬댄스플레이스 sundanceplace 남산맛집 한남동맛집 소월길 드라이브 루프탑 홍콩와플 카츠샌드 가쓰오브시 볼로네즈 먹스타그램,0,1,1,1,
56,3182,https://www.instagram.com/p/oaajdWLrBl/,경리단길 보석길 보석시장 비오는일요일,0,1,1,1,
59,651,https://www.instagram.com/p/BZ-78P_nFH4/,이태원 경리단 이태원맛집 경리단길맛집 해방촌 해방촌맛집 itaewon food 맛집 맛스타그램 먹스타그램 음식 그리스음식 지중해 셀카 selfie,0,1,1,1,
62,10233,https://www.instagram.com/p/BU_35C6F9Z7/,이번엔 제대로먹방 1식3끼 배도마음도빵빵 난아직도배고프다 서울여행 먹방여행 우정여행 반포한강공원 한강라면 즉석라면 신림순대타운 백순대 경리단길브런치 이태원브런치 더버뮤다 경리단길카페 한강진카페 peer 디저트카페 목화솜탕수육 jari,0,1,1,1,"아ㅣ태원 맛집 돌아다니면서 놀았지만, 인스타 사진 정보는 맛집이 아님"
65,8723,https://www.instagram.com/p/BTaYE9xjBes/,나는그렇게처음으로나를바라보았다 경리단길 카페아이아이 cafeii 아이아이 ㅇㅇㅇㅇ 경리단길카페 경리단길브런치 경리단길맛집 경리단길낮술 경리단길맥주 경리단길와인 펍 경리단길술집 dinner 이태원 이태원맛집 브런치맛집 brunch itaewon seoul,0,1,1,1,
67,2201,https://www.instagram.com/p/BcMHcl2BRBQ/,이태원맛집 이태원 맥주스타그램 군인 하.. dailylook 조지스핸즈 맛집 시간이 촉박해 맞팔 선팔하면맞팔 스트릿패션 여행 사랑함,0,1,1,1,
68,495,https://www.instagram.com/p/BbRVyhNhu69/,숙대맛집 수제버거             모짜렐라치즈버거 더백버거             더백푸드트럭 루프탑 서울꼭대기에서촬영이라니 후암동 해방촌맛집 전망좋은집 108계단 해방촌투어1 일상 소통 daliy 일상스타그램,0,1,1,1,
69,6706,https://www.instagram.com/p/BZqcyeKl5EM/,보리 팬티속에 강아지장난감 고양이장난감 아베크펫 쇼룸 이태원애견동반 우사단길이태원카페,1,0,0,0,
74,5167,https://www.instagram.com/p/BbDVsDBh6qf/,드플로허 뱅쇼 감기예방음료 vinchaud 주인장취향 전시알림 분더캄머 전시관람 복합문화공간 DeFlore 갤러리대관 디자인갤러리 Art design creative inspiration 디자인 사진 학위청구전 졸작 전시 갤러리 한남동카페 이태원카페 한강진카페 약속장소 이태원데이트 갤러리데이트 한남동맛집,0,1,1,1,
75,1835,https://www.instagram.com/p/Ba_T3AGD1c0/,이태원 우사단길 우사단데이 이태원카페 한남동카페 핑크마가린 영상 홍보 댄스 페스티벌 행사 솜사탕카페 이색카페 카페거리,0,1,1,1,
80,3856,https://www.instagram.com/p/BTDXoSZhO3_/,동구다방 한송이꽃다발... 예쁜꽃집 이태원꽃집 우사단길 우사단길카페 우사단길꽃집 핸드타이드 꽃다발주문 꽃다발포장 이태원카페 꽃스타그램 플라워레슨 셀프웨딩 스몰웨딩 웨딩부케 부케 꽃다발 flowers beautiful bouquet wedding weddingbouquet 이태원카페 한남동카페,1,0,0,0,
81,5858,https://www.instagram.com/p/BbqsW77jXty/,한남동카페 언더프레셔,0,1,1,1,
83,2625,https://www.instagram.com/p/BZgHEWfFFcD/,재즈 재즈나잇 오성택밴드 한남동 웨이베터 그릴 가든 맛집 한남동맛집 이태원 브런치 디너 런치 샐러드바 바베큐플래터 대관 웨딩 피로연 terrace waybetter han0m grill garden brunch dinner jazz jazznight,0,1,1,1,
85,7342,https://www.instagram.com/p/BTLrAIaA7_5/,성광대도 명란구이이태원맛집,1,0,0,0,
90,4479,https://www.instagram.com/p/sUdtcnGUvm/,InstaSize 이태원 우사단길 계단장 프리마켓 초상화 뒷통수초상화다음달엔,1,0,0,0,
95,8521,https://www.instagram.com/p/BXvYZsxg1L0/,꽃 카페스타그램 이태원 경리단길 경리단길카페,0,1,1,1,
96,6174,https://www.instagram.com/p/BJ27_KiBzA5/,콩밭 우사단길 핸드메이드 뜨개 주문제작 샵인샵 갤러리 대안공간 놀이터 그냥갈수없잖아 handmade knitting crochet custom gallery playground,1,0,0,0,
98,9344,https://www.instagram.com/p/2xcgt1AhTF/,보석시장 에끌레어 바람솔솔 경리단 보석길,0,1,1,1,
100,1158,https://www.instagram.com/p/4DJwjooPuC/,goodmorning flowerlesson gardenlesson 식물 미니가든 gardener flower herb greengraphyj 우사단길 정원연출,1,0,0,0,
104,7312,https://www.instagram.com/p/BcUqDKTjY15/,걸즈나잇 맛집 맛스타그램 한남동 이태원 이태원맛집 한남동맛집 걸즈나잇 플로리스트 꽃 플라워카페 플라워레슨 까사베르데 통영까사베르데 통영플라워 casaverde 고성꽃집 거제꽃집,0,1,1,1,
109,2667,https://www.instagram.com/p/tQAO_Qh6AZ/,macrome beachcoming exhibition제주도 이태원 우사단길 milelap 매듭공예 전시,1,0,0,0,
110,4309,https://www.instagram.com/p/BXtwdskAWUI/,남의작업실 옥상 이태원 프리덤 itaewon 우사단길 누워있음 바람소리 summerlover                졸려            ,0,1,1,1,
112,6694,https://www.instagram.com/p/BFRlXdZnLMA/,이태원 우사단길 이태원만물상 장난감 몰트위스키 와인 세계맥주 소라누나 아오이소라 오락기 보글보글 개업 스노우브라더스 보글보글 너구리 스트리트파이터 갤러그 600가지게임보유 추억 아지트 나만알고픈곳 빈티지시계 필름카메라,0,1,1,1,
114,7214,https://www.instagram.com/p/BSDWjYrDE6K/,이태원 맛스타그램 케이크스타그램  먹스타그램 냉장고를부탁해 우사단로 우사단길 이슬람사원 이태원맛집 파스타 커피스타그램 스테이크 커피 디저트 디저트그램 잘생김 섹시 빵 빵스타그램 케이크 ㅅㅅ ㅅㅅ음식작업소 쉬폰 플레이팅 와인             티라미수 티라미슈  시옷시옷음식작업소 치즈케익 치즈케이크,0,1,1,1,
117,1861,https://www.instagram.com/p/BR4tEQAgSDh/,Repost 먹스타그램 맛집 맛스타그램 샌드위치맛집 풀드포크 해방촌맛집 해방촌카페 팻캣,0,1,1,1,
119,8509,https://www.instagram.com/p/BG1gIMJAC9J/,반미샌드위치에 하노이커피남편은 이태원 우사단길 일상 주말 마지막 이밤에커피 아직할일많은데 내일출근 디스레트로라이프는휴무 나미니그램 음레코드 붐박스 lp 임수미,0,1,1,1,
122,4834,https://www.instagram.com/p/BZsXNMqnnYD/,창화당 만두잘하는집 만두맛집 만두 먹스타그램 한남동맛집 교대맛집 익선동맛집 종로맛집 이태원맛집,0,1,1,1,
125,6549,https://www.instagram.com/p/BY2VoU9hqaH/,이태원 우사단길 음레코드,0,1,1,1,
129,597,https://www.instagram.com/p/uon4_UCx3R/,sos 월요일 헬프미 housecamping humanhaus guesthouse sharehouse newwork 우사단길 하우스캠핑 인테리어 inbox 공사인 코르크하우스 corkhouse 리모델링 busyson busking 공연기획 무엇이든물어보세요,0,1,1,1,
133,9021,https://www.instagram.com/p/BXnMm7iAeSJ/,휴가철 무더운 여름더위 소나기 조이의공간 휴가 경리단길 여름 여름한정메뉴 휴가끝 경리단길카페 아직 루프탑 가기는 더워요 조금만 더 기다려주세요              rooftopcafe joys_parlor 조이의공간은기쁨으로향하는모든흐름을지지합니다 나이키간접광고아님주의,0,1,1,1,
134,2685,https://www.instagram.com/p/BbSHTR3AisY/,생일스타그램 셀스타그램 셀카 셀피 인친 소통 럽스타그램 생일서비스와인             사장님센스쟁이 팔로우 구월동맛집 철든놈제6공장 패션파이브 맛있는케이크 이태원카페,1,0,0,0,
140,2898,https://www.instagram.com/p/BaHIennHFMv/,데일리 일상 좋아요 날씨 카페 커피 카페스타그램 이태원 한남동 이태원카페 한남동카페 카페세임 세임 가을 10월 daily dailypic like4like weather cafe coffee cafestagram cafesame instadaily instagood instapic autumn october,0,1,1,1,
143,6415,https://www.instagram.com/p/53o1yLIiuP/,살바도르달리  앤디워홀  바스키아  헤르만헤세_                                                                                                                                                _ 예술가와고양이책스타그램 해방촌카페 해방촌서점 치읓 디자인하우스 고양이,0,1,1,1,
144,9814,https://www.instagram.com/p/Bb4NTAphIRM/,chilltimes wearethefamily 37ontap whiterabbit whiterabbittaphouse 화이트래빗 화이트래빗탭하우스 녹사평역2번출구 경리단 경리단길 경리단길맛집 경리단길카페 이태원 이태원역 이태원맛집 이태원카페 victory beersatio0l 탭하우스계의배스킨라빈스 골라먹는재미 37가지탭 ,1,0,0,0,
147,9464,https://www.instagram.com/p/BUGDYYRDW_U/,주말 이태원 녹사평역 경리단길 경리단길카페 kukka 베프랑산책            ,0,1,1,1,
148,974,https://www.instagram.com/p/BbKyqDZhTuC/,커피 カフェ部 후암동카페,1,0,0,0,
151,6757,https://www.instagram.com/p/BJuP_vSDW5t/,해방촌 해방촌오거리 해방오거리 철거 공방 카페 해방촌카페 벽지 벽,0,1,1,1,
153,6271,https://www.instagram.com/p/BUbgBEwAJwy/,런드레스 thelaundress 런드리프로젝트 론드리프로젝트 세제편집샵 해방촌 해방촌카페,0,1,1,1,
154,1167,https://www.instagram.com/p/BCdIzmKJsNd/,라라라식탁 라라스윗우사단길 우사단길 이태원 한남동 시옷시옷 ㅅㅅ 카페 음식작업소 쿠키 디저트 디저트공방 케이크 dessert coffee cafe 신장개업,0,1,1,1,
157,8421,https://www.instagram.com/p/BRP9vNDAeh0/,kukka 꾸까 플라워클래스 원데이클래스 신비디움 마리포사카네이션 마리포사 핑크레이스장미 장미 델피늄 아네모네 조팝나무 폴리유칼립투스 유칼리툽스 꽃 경리단꽃집 경리단길카페 경리단길 페데스탈,0,1,1,1,
158,5975,https://www.instagram.com/p/BcCUkbOBaNu/,바이미나 베베폼 베베폼일상 바이미나 바이미나한남쇼룸 비컴카페 한남동카페 마켓 bebepom bebepom bymi0,0,1,1,1,
161,8418,https://www.instagram.com/p/8MczKuN1h4/,이태원 한남동 우사단길 한아조 쇼룸 나들이 추석끝 가을맞이 recipeforskin 피부를위해 딸기 숯 채소 strewberry charcoal vegetable,1,0,0,0,
163,4110,https://www.instagram.com/p/BTs6aGaFRq4/,기모티.. 해방촌맛집 이태원맛집 이자카야 일본선술집 미슐랭심사원 중대부초 미식단 음식사진전문 부담됨 오사카짬뽕 평가원추천 대박예감 다음엔히비끼             승제맛집,0,1,1,1,
164,992,https://www.instagram.com/p/BKvQPxJj-oZ/,시호와형아들 그리스몽키 우사단길 김치싸다구 shiho shiba petstagram dogstagram,1,0,0,0,
168,8767,https://www.instagram.com/p/BXaDmOAAN8t/,카페이벤트 이벤트 선물빵빵 event 키암부10 이태원카페 경리단길카페 테라스카페 테라스 terrace kenyakiambu kenyakiambucoffee 케냐키암부 케냐키암부커피 키암부커피 itaewon coffeestagram 먹스타그램 맛스타그램 맛있다그램 커피스타그램 카페스타그램 itaewoncafe 맞팔 소통,0,1,1,1,
170,4894,https://www.instagram.com/p/BZ_b-RLg5X3/,SundayVibes03_1 소녀감성 이제안찍을라고 다음엔캐쥬얼하게동네오빠처럼입어줘 오피스룩은안섹시해 쉬는날노동한느낌 놀려고한건데 또죽자고달려들었어 경리단길 크라우드커피 집앞 이태원카페 경리지앵,0,1,1,1,
173,3972,https://www.instagram.com/p/BFI2zxcP4pL/,박박이 데일리 타투 낙서 점묘 블랙 올드스쿨 블랙워크 점묘화 말레비치 이태원 우사단길 옆집타투 낫과 페인트통을든 사나이drawing doodle dotwork blackwork blacktattoo oldschool malevich malevichtattoo.,0,1,1,1,
175,5677,https://www.instagram.com/p/BJU_ZJphQvk/,해방촌 런드리프로젝트 해방촌카페 런드리카페 laundryproject cafe coffee photowony korea travel yongsan haebangchon laundry,0,1,1,1,
180,121,https://www.instagram.com/p/BOULmg9hqBb/,자몽에이드 자몽청 이태원카페 이태원맛집 이태원꽃집 한남동카페 dongkucafe 블루밍부케 한남동맛집 라떼아트 커피 플라워카페 이태원 한남동 아메리카노 에이드 카페라떼 우사단길,0,1,1,1,
181,9314,https://www.instagram.com/p/Bb9LI5dFmez/,유아인 유아인카페-,1,0,0,0,
182,3131,https://www.instagram.com/p/BbwhcUBHf-z/,로렘입숨 힐링생파 happybirthday 생일파티3일차             꽃             이태원카페 이태원,0,1,1,1,
183,2876,https://www.instagram.com/p/BSxvmuGFJNd/,첫줄 첫줄안녕 서울 이태원 한남동 터키아이스크림 미스터케밥 케밥 아이스크림 이태원맛집 디저트 인스타푸드 맛스타그램 먹스타그램 경리단길 우사단길 샤로수길,0,1,1,1,
189,2017,https://www.instagram.com/p/BFTUfUekzDk/,아이폰 아이폰6 아이폰사진 풍경사진 일상의소소함 이태원 해방촌 해방촌카페 커피한잔,0,1,1,1,
191,1132,https://www.instagram.com/p/BWNN1q5FvAA/,이태원 경리단길 녹사평맛집 녹사평카페 한남동 이태원맛집 경리단길맛집 이태원카페 경리단길카페 이태원술집 경리단길술집 이태원펍 이태원브런치 경리단길브런치 이태원피자 경리단길꽃집 이태원맥주 이태원역 경리단길맥주 Repost,0,1,1,1,
192,1087,https://www.instagram.com/p/BU4IUlzgtqh/,초록 예쁨 주말 우사단길,0,1,1,1,
193,3260,https://www.instagram.com/p/BTtOjMrjGxR/,해방촌르카페   해방촌 해방촌군침 이태원맛집 해방촌맛집 녹사평역맛집 일상 데일리 신흥시장 해방촌오거리 팔로우 맞팔 맛스타그램 먹스타그램 itaewon 군침 해방촌군침 hbc 해방촌길 해방촌데이트 선팔하면맞팔 데이트 해방촌길 해방촌 해방촌술집 해방촌펍 해방촌길 해방촌데이트 해방촌맥주 해방촌나들이,1,0,0,0,
198,9606,https://www.instagram.com/p/_o0DtgCyW5/,단체사진 이태원 경리단길 우사단길 전쟁기념관 이태원프리덤 이태원베터리 나혼자산다 다큐멘터리3일 내일로 내일로여행 내일로기차여행,1,0,0,0,
199,8111,https://www.instagram.com/p/BZ7zlE0lfpO/,추석연휴 여유즐기기 티타임 아아 아메리카노 말차갸또쇼콜라 녹차덕후 강남미생,0,1,1,1,
203,9992,https://www.instagram.com/p/BXe1kddgMy0/,올드나이브즈 oldknives 해방촌 해방촌맛집 이태원맛집 낙산공원 야경 서울 혜화 맛스타그램 먹스타그램 럽스타그램 데이트스타그램,0,1,1,1,
206,6978,https://www.instagram.com/p/BPh9LXyB09G/,흰둥이 눈 뒤에나비 보광동 우사단 카페 이태원 이태원카페 커피 보광동 이태원 우사단로 우사단길 우사단 카페 칵테일 부티크 bar 이태원카페 와인 뱅쇼 이태원뱅쇼 맛집 이태원맛집 일상 소통 파티 방명록 동냉 동아냉면 화장실,0,1,1,1,
209,2009,https://www.instagram.com/p/BVUzdjLD_kH/,그린테라피 꽃집 테스티로드 맛집 한남동 이태원 위스키 바베큐 맛스타그램 생일 파티 와인 슈퍼마켓 루프탑 한남동슈퍼마켓 우사단길 프로포즈 모임 야경 보광동 이태원슈퍼마켓 이태원루프탑,0,1,1,1,
211,561,https://www.instagram.com/p/BRUkz6WhqVh/,엄빠 주민등록번호 아는사람. 20170305우사단길 풍유와 멋이 살아있는 이곳 이태원 길거리 사진첩.. canon 6D 1635mm,1,0,0,0,
214,1912,https://www.instagram.com/p/Bb7VV3shO8H/,한남동맛집 본과2학년 경희의대 거의끝 경희대 얼른방학해라 괴도디팡,0,1,1,1,
215,9493,https://www.instagram.com/p/BZu-f1Ejs8p/,아날로그키친 광교맛집 광교아브뉴프랑 한남동맛집 통오징어구이밥 맛집탐방 맛은소소 며칠째파스타 크림빠네,0,1,1,1,
219,5766,https://www.instagram.com/p/BblVTS8gS-O/,피트커피 피트와인영화제 브레드피트 피트와인영화제 채비 고두심 김성균 유선 한남동 한남동카페 정원카페 핸드드립 스페셜티커피 와인파티 와인스타그램 와인스터디,0,1,1,1,
220,5141,https://www.instagram.com/p/Ba0lUIWlGX6/,Repost 이태원맛집 녹사평맛집 해방촌맛집 내장파괴버거 자코비버거 감자튀김 맥주 수제버거 햄버거 burger 아보카도버거 압구정맛집 압구정자코비버거 압구정로데오맛집 런치 데일리 선팔 맞팔 먹스타그램 맛스타그램 instafood foodstagram food 그뤠잇 렛츠기릿,0,1,1,1,
226,9568,https://www.instagram.com/p/BaB3WKPBfLS/,공쥬 데이트오늘은 이태원데이트 selfie 꾸띠자르당 사유 유부스타그램 이태원카페 데이트코스 데일리 daily 이태원 데이트 셀피,0,1,1,1,
231,9329,https://www.instagram.com/p/69eJZtwMky/,starwars darthvader stomtrooper itaewon usadan 이태원 우사단길,0,1,1,1,
232,9982,https://www.instagram.com/p/BSwPuUwFYQf/,해방촌거기 메이크센스,1,0,0,0,
233,883,https://www.instagram.com/p/BVGpDwil0zS/,프랭크타운 세렝게티 카페 경리단길카페 이태원 seoul cafe serengetee itaewon,0,1,1,1,
239,1149,https://www.instagram.com/p/BbWGbwZlt5W/,이태원 이태원카페 loner 블랙 자켓,0,1,1,1,
241,7093,https://www.instagram.com/p/BEF3oywri3q/,cat springsunshine 고양이 봄볕 우사단길 언덕라면,1,0,0,0,
247,9670,https://www.instagram.com/p/Bbd1fgVHwW1/,속눈썹이벤트 이태원네일 한남동네일 용산네일 압구정네일 한남동카페 이태원맛집 겨울네일 무쌍속눈썹연장 자연스러운속눈썹 웨딩네일아트 이달의아트 셀스타그램 젤네일아트 깔끔한네일 심플한네일 한남오거리 한강진맛집 옥수동네일 옥수동맛집 리그램 한남동카페거리 네일3만원 속눈썹연장3만원 보광동속눈썹 한남동네일잘하는곳 분당속눈썹,0,1,1,1,
251,10144,https://www.instagram.com/p/BSGCUzNA1V0/,날찍으라했더니 뒤로가서 뒷모습만남겨주는 이게베스트컷 얼굴 다나으면 셀카200장 찍을거야 이태원 우사단길 same 이태원카페,0,1,1,1,
253,134,https://www.instagram.com/p/BX0RaH2gAAe/,주말  JYP 일본 2PM 우영 로이스초콜렛.흑흑 서울바이닐 해방촌맛집 이태원핫플 데이트그램 불토 선물 로이스 한정판 존맛 데일리 일상 먹스타그램 일상스타그램,0,1,1,1,
255,628,https://www.instagram.com/p/BS5h4h5AFpR/,갑돌이 ソンジェリム 宋再  songjaelim songjaerim 음레코드 MmmRecords 이태원 우사단길 경리단길 레이블 바이닐 LP 음악감상 매거진 리본 Reborn 송재림,0,1,1,1,
258,8024,https://www.instagram.com/p/BadbjE9jYU2/,마실다니기 좋은날씨 가을 한남동 점심 밥먹고일해야되요 로퍼 cafe 이태원카페 일상 마실 카페 날씨 가을 계절 커피 카페 일상 데일리 dailyphoto ootd dailylook look shoes fashion streetfashion 샐러드셀러,1,0,0,0,
259,3747,https://www.instagram.com/p/BY7jZdxHw0A/,다시업무 우사단길 이웃 맛점 반주,1,0,0,0,
261,342,https://www.instagram.com/p/BcMp8V2lMcc/,december christmas decoration 우사단길 이태원 itaewon,0,1,1,1,
268,98,https://www.instagram.com/p/BY0WbFinyvr/,이태원핫플레이스 이태원맛집추천 카페아이아이 이태원브런치 이태원 이태원카페 daily 역삼동반영구 역삼동왁싱 반영구잘하는곳 왁싱잘하는곳 food foodstagram foodstyling plating cool autumn,0,1,1,1,
275,6503,https://www.instagram.com/p/BRnN9qHBKCs/,오늘만날인가 괜찮다 그런데왜눈물이 ㅋㅋㅋ              운동이나하자                          ♀  이태원 경리단길 장진우거리 보석길 이날 코스는 움 리틀로잘린 레호이 빅스텝 봄선배 봄향기 산책              봄이왔네 ,0,1,1,1,
278,9802,https://www.instagram.com/p/BblAzJGldbD/,Repost 레호이 베트남 이태원맛집 쌀국수 분짜 반미 다코박스 맛집배달,0,1,1,1,
279,635,https://www.instagram.com/p/BcIYQtOBJk3/,할인은2일까지 아이디어스 라비앙코코 핫초코 핫초코키트 홈카페 수제초콜릿 인기작품 수제초콜릿 크리스마스선물 idus 이태원카페,0,1,1,1,
284,7914,https://www.instagram.com/p/BcWf4AoniUa/,이태원브런치카페 혼카페,1,0,0,0,
287,6219,https://www.instagram.com/p/6iO7HOsaeN/,하자포자 우사단길,1,0,0,0,
291,5579,https://www.instagram.com/p/BcHtmreggwT/,쵝오             베스트컷 아웃겨 한남동나들이             한남동카페 데바스테이트한남 굿데이            ,0,1,1,1,
293,7225,https://www.instagram.com/p/4X2nP4t1vO/,이태원 한남동 우사단길 토요일 계단장 드렁큰블루베리 한아조 ha0hzo,1,0,0,0,
